,country,continent,year,lifeExp,pop,gdpPercap
0,Afghanistan阿富汗,Asia,1950,29.22,8221506,728
2,Afghanistan阿富汗,Asia,1952,29.54,8512771,754
4,Afghanistan阿富汗,Asia,1954,29.86,8804036,781
6,Afghanistan阿富汗,Asia,1956,30.17,9095301,808
8,Afghanistan阿富汗,Asia,1958,30.67,9446164,827
10,Afghanistan阿富汗,Asia,1960,31.33,9856623,840
12,Afghanistan阿富汗,Asia,1962,32.0,10267083,853
14,Afghanistan阿富汗,Asia,1964,32.81,10775436,846
16,Afghanistan阿富汗,Asia,1966,33.62,11283789,840
18,Afghanistan阿富汗,Asia,1968,34.43,11846265,817
20,Afghanistan阿富汗,Asia,1970,35.26,12462862,778
22,Afghanistan阿富汗,Asia,1972,36.09,13079460,740
24,Afghanistan阿富汗,Asia,1974,37.03,13799825,758
26,Afghanistan阿富汗,Asia,1976,37.97,14520190,777
28,Afghanistan阿富汗,Asia,1978,38.72,14480661,824
30,Afghanistan阿富汗,Asia,1980,39.29,13681238,901
32,Afghanistan阿富汗,Asia,1982,39.85,12881816,978
34,Afghanistan阿富汗,Asia,1984,40.24,13276272,928
36,Afghanistan阿富汗,Asia,1986,40.63,13670729,878
38,Afghanistan阿富汗,Asia,1988,40.99,14357950,812
40,Afghanistan阿富汗,Asia,1990,41.33,15337935,731
42,Afghanistan阿富汗,Asia,1992,41.67,16317921,649
44,Afghanistan阿富汗,Asia,1994,41.71,18681719,644
46,Afghanistan阿富汗,Asia,1996,41.75,21045516,638
48,Afghanistan阿富汗,Asia,1998,41.84,22835613,654
50,Afghanistan阿富汗,Asia,2000,41.98,24052009,690
52,Afghanistan阿富汗,Asia,2002,42.13,25268405,727
54,Afghanistan阿富汗,Asia,2004,42.81,27917012,826
56,Afghanistan阿富汗,Asia,2006,43.49,30565619,925
58,Afghanistan阿富汗,Asia,2008,75.54,30988451,941
60,Afghanistan阿富汗,Asia,2010,75.82,29185507,874
62,Afghanistan阿富汗,Asia,2012,76.09,31276745,807
64,Afghanistan阿富汗,Asia,2014,76.35,33367984,739
66,Afghanistan阿富汗,Asia,2016,76.62,35316552,672
68,Afghanistan阿富汗,Asia,2018,76.89,37122449,605
70,Afghanistan阿富汗,Asia,2020,77.15,38928346,565
72,Afghanistan阿富汗,Asia,2022,77.42,40761392,575
74,Afghanistan阿富汗,Asia,2024,77.68,42594439,585
76,Afghanistan阿富汗,Asia,2026,77.95,44427485,595
78,Afghanistan阿富汗,Asia,2028,78.22,46260532,605
80,Afghanistan阿富汗,Asia,2030,78.48,48093578,615
82,Afghanistan阿富汗,Asia,2032,78.75,49926624,625
83,Albania阿爾巴尼亞,Europe,1950,53.61,991432,1465
85,Albania阿爾巴尼亞,Europe,1952,55.23,1282697,1601
87,Albania阿爾巴尼亞,Europe,1954,56.85,1467091,1738
